SK_ID_CURR,TARGET
100001,0.16028301
100005,0.26903
100013,0.07882455
100028,0.11578108
100038,0.42609382
100042,0.12235646
100057,0.08830459
100065,0.15858439
100066,0.07947623
100067,0.30211303
100074,0.25235918
100090,0.1729648
100091,0.43356824
100092,0.33409318
100106,0.17917252
100107,0.33296224
100109,0.23162693
100117,0.11479881
100128,0.34559038
100141,0.12129743
100150,0.06757191
100168,0.06477319
100169,0.1365057
100170,0.18763149
100171,0.1591097
100172,0.3200925
100184,0.20052908
100187,0.25984114
100212,0.21696742
100222,0.19849512
100223,0.08446218
100232,0.115233526
100241,0.5079106
100245,0.10343098
100253,0.079413794
100256,0.2296576
100271,0.055114985
100278,0.5920248
100280,0.042507112
100306,0.44161642
100311,0.39939195
100312,0.08197232
100330,0.43875515
100331,0.15074408
100352,0.3323092
100358,0.2199828
100367,0.09607325
100382,0.5447013
100384,0.29602984
100385,0.25174722
100386,0.22145595
100399,0.13264352
100404,0.28634804
100416,0.09375279
100422,0.2683671
100426,0.10064033
100438,0.110260546
100444,0.29422954
100445,0.41851318
100446,0.31729028
100447,0.08547929
100450,0.17181621
100466,0.083567366
100483,0.14833488
100484,0.06908528
100494,0.2566406
100510,0.49931678
100512,0.06582499
100517,0.13294087
100548,0.14904514
100551,0.126633
100552,0.25058815
100553,0.08087057
100561,0.24992475
100568,0.7605651
100569,0.18347944
100591,0.21289349
100592,0.091322064
100602,0.22440062
100607,0.16245998
100613,0.1849379
100617,0.50087184
100618,0.23937213
100622,0.11301313
100625,0.5423795
100677,0.48526618
100699,0.15567738
100702,0.6940879
100711,0.23629709
100729,0.3693163
100740,0.6092913
100744,0.4312848
100745,0.1945105
100747,0.29453176
100751,0.60644144
100752,0.1937767
100753,0.5112792
100754,0.41085798
100760,0.10511978
100762,0.31755117
100763,0.18977372
100765,0.0739443
100770,0.23818724
100772,0.0789995
100777,0.1511293
100791,0.090807155
100792,0.056107417
100797,0.10638853
100823,0.07974782
100826,0.100020364
100830,0.1392524
100836,0.58480215
100872,0.19689928
100910,0.16027923
100913,0.39386398
100918,0.17035574
100931,0.05086262
100952,0.14339204
100953,0.12867817
100965,0.53231776
100970,0.1415217
100982,0.28589052
100983,0.53162163
100984,0.22518541
100987,0.18549524
100997,0.27933928
100998,0.37786266
101002,0.21684736
101005,0.41479224
101008,0.57613087
101020,0.3122664
101021,0.15589538
101024,0.2807885
101025,0.32874805
101026,0.21310939
101031,0.07802749
101041,0.10754757
101051,0.07942621
101055,0.23492222
101056,0.56941956
101057,0.16344893
101064,0.12968749
101079,0.34784645
101087,0.1381276
101090,0.106366426
101092,0.30447122
101097,0.35606566
101099,0.064682126
101107,0.40778837
101118,0.24847516
101125,0.27047086
101126,0.07967926
101128,0.08223244
101136,0.3150358
101140,0.46133563
101149,0.4492143
101160,0.2639985
101169,0.42084932
101181,0.10859441
101186,0.13363217
101190,0.3049337
101193,0.20557794
101194,0.42970482
101198,0.48680568
101200,0.10108084
101204,0.115905195
